"id","text"
"show message list","show message list"
"write a new message","write a new message"
"subscribe","iscriviti"
"unsubscribe","annulla iscrizione"
"messages","messaggi"
"write a message","scrivi un messaggio"
"no saved messages","non ci sono messaggi salvati"
"view all messages","visualizza tutti i messaggi"
"groups newsletter","gruppi di newsletter"
"view all users emails","visualizza tutte le email degli utenti"
"users","utenti"
"sent to","invia a"
"all site users","tutti utenti sito"
"send","invia"
"you unsubscribed the newsletter","Ti sei disiscritto alla newsletter"
"you subscribed the newsletter","Ti sei iscritto alla newsletter"
"to get our newsletter please enter your email and click on ”subscribe”. If you want to cancel the newsletter please enter your email and click on ”remove”","per ricevere la nostra newsletter inserisci la tua email e clicca su ”Iscriviti”. Se invece ti vuoi cancellare dalla Newsletter inserisci la tua email e clicca su “Annulla iscrizione”"
"all site users","tutti gli utenti del sito"
"to be sent","da inviare"
"delivery failure","invio fallito"
"sent","spediti"
"send message to","invio messaggio a"
