"id","text"
"next record","prossimo"
"previous record","precedente"
"go to the contents list","vai alla lista"
"add new","aggiungi nuovo"
"added a comment to your content","ha aggiunto un commento a un contenuto da te inserito"
"to see the comments go to this address","per vedere i commenti vai a questo indirizzo"
"added a comment","ha aggiunto un commento"
"insertion date","data inserimento"
"date updated","data ultimo aggiornamento"
"number of views","numero di visualizzazioni"
"reverse order (from largest to smallest)","ordine inverso (dal più grande al più piccolo)"
"of","di"
"add comment","aggiungi un commento"
"edit qualified users to modify","gestisci gli utenti abilitati alla modifica"
"limits the display of the content in these groups","limita la visualizzazione del contenuto a questi gruppi"
"no previous version is available","non è disponibile alcuna precedente versione"
"previous versions","versioni precedenti"
"restricts the view to these groups","visualizzazione limitata ai seguenti gruppi"
"version history","storico versioni"
"order by","ordina per"
"remove filter","rimuovi filtro"
"allow permissions to display for each record","gestisci permessi di visualizzazione per ogni singolo record"
"new search","nuova ricerca"
"browse by categories","navigazione per categorie"
"results per page","risultati per pagina"
"the creator of the object will be contacted to request you to be allowed. You can add comments in the box below.","il creatore del contenuto verrà contattato per chiedere di essere autorizzati. È possibile aggiungere commenti nella casella qui sotto."
"demand modification","richiesta di modifica"
"you can not send your request, please contact the administrator of the website","non è possibile inviare la richiesta, perfavore contatta l'amministratore del sito web"
"has requested to modify this content","ha richiesto di poter modificare questo contenuto"
"to allow editing do login","per abilitarlo alla modifica vai a"
"and login as user","e esegui l'accesso con utente"
"go to edit this content or log in","vai al contenuto oppure a "
"then click on -user allowed to edit- and manage the permissions","quindi clicca su -gestisci gli utenti abilitati alla modifica- e gestisci le autorizzazioni"
"request sent","richiesta inviata"
"you are not authorized to view the data","non hai i permessi per visualizzare questo contenuto"
"filter","filtro"
"rule","regola"
"shows only","visualizza solamente"
"export to csv","salva i risultati come CSV"
"to post a comment","per postare un commento"
"you may not do that","non puoi eseguire questa operazione"
"the message has been sent","il messaggio è stato inviato"
"you must be registered to","devi registrarti a"
"the comment was deleted","il commento è stato eliminato"
"record was deleted","il contenuto è stato eliminato"
"you exit without to save?","vuoi uscire senza salvare?"
"exit","esci"
"view list","visualizza lista"
"exit and view","esci e visualizza"
"record updated","il contenuto è stato aggiornato"
"created new record in","aggiunto nuovo record in"
"posted by","postato da"
"to view go to the address","per visualizzarlo vai al seguente indirizzo"
"this user not exists","l'utente non esiste"
"this user is already enabled","questo utente è già stato abilitato"
"you were added to the users allowed to edit this content","Hai abilitato l'utente a modificare questo contenuto"
"If you want to edit the content you have to login :","Se vuoi modificare il contenuto esegui l'accesso :"
"add user","aggiungi utente"
"rank","rank"
"vote","vota"
"poor","scarso"
"inadeguate","insufficiente"
"adeguate","sufficiente"
"good","buono"
"very good","molto buono"
"thank you for voting","grazie per il tuo voto"
"hide categories","nascondi categorie"
"updated","aggiornato"
"icon view","vista a icone"
"list view","vista a lista"
"image","immagine"
"copy data and add new","copia dati e aggiungi nuovo"
"delete this version","elimina questa versione"
"limits the edit of the content to these groups","limita la modifica del contenuto a questi gruppi"
"manage permissions","gestisci autorizzazioni"
"there is already an item with this value","esiste già un elemento con questo valore"
"add a new item into","aggiungi un nuovo elemento in"
"remove filter","rimuovi filtro"
"filter results","filtra i risultati"
"allow permissions to edit for each record","Gestisci permessi di modifica per ogni singolo record"
"limits the edit of the content in these groups","Limita la modifica del contenuto ai seguenti gruppi"
"read","lettura"
"write","scrittura"
"access control","controllo accessi"
"there are no previous versions","non ci sono versioni precedenti"
"version history","storico delle versioni"
"version date","data versione"
"version created by","versione creata da"
"save to disk","salva su disco"
"send by email","invia per email"
"save online (only administrators)","salva online (solo amministratori)"
"insertion form","scheda per l'inserimento"
"form for updating","scheda per l'aggiornamento"
"download insertion form","scarica scheda per l'inserimento"
"download update form","scarica scheda per l'aggiornamento"
"fill in the form and click on the ""save to disk"" button","compila la scheda e clicca sul pulsante ""salva su disco"""
"a file will be generated which you can send to administrators or edit and complete at a later time","verrà generato un file che potrai inviare agli amministratori oppure modificare e completare in un secondo momento"
"enable offline form","abilita compilazione offline"
"export","esporta"
"export the results","esporta i risultati"
"attach the file to the email and send it to","Allega il file alla mail e inviala a"
"attach any images or documents to the email","allega eventuali immagini o documenti"
"filled document","documento compilato"
