"id","text"
"_LANGUAGE","Italiano"
"_CHARSET","UTF-8"
"sunday","Domenica"
"monday","Lunedì"
"tuesday","Martedì"
"wednesday","Mercoledì"
"thursday","Giovedì"
"friday","Venerdì"
"saturday","Sabato"
"january","Gennaio"
"february","Febbraio"
"march","Marzo"
"april","Aprile"
"may","Maggio"
"june","Giugno"
"july","Luglio"
"august","Agosto"
"september","Settembre"
"october","Ottobre"
"november","Novembre"
"december","Dicembre"
"posted","Postato"
"comments","Commenti"
"save as draft","salva come bozza"
"draft","bozza"
"insert","Inserisci"
"link to local page","Collegamento a una pagina locale"
"page type","Tipo di pagina"
"block type","Tipo di blocco"
"all word","tutte le parole"
"exact phrase","frase esatta"
"any word","almeno una parola"
"no result","nessun risultato trovato"
"search results","risultati della ricerca"
"site map","Mappa del sito"
"new folder","nuova cartella"
"new file","nuovo file"
"upload file","carica un file"
"a file already exists with this name","esiste già un file con questo nome"
"retype","ridigita"
"the value is not valid","il valore non è corretto"
"the image must be smaller than","l'immagine deve essere più piccola di"
"this value already exists","esiste già con questo valore"
"the values are not equal","i valori non corrispondono"
"print","Stampa"
"modify","Modifica"
"please register the administrator","Perfavore registra l'amministratore del sito"
"language","Lingua"
"languages","Lingue"
"back","Indietro"
"previous","precedente"
"next","seguente"
"cancel","Annulla"
"register","Registrati"
"username","Nome utente"
"password","Password"
"email","E-mail"
"save","Salva"
"view","Visualizza"
"delete","Elimina"
"edit mode off","Esci dalla modalità modifica"
"edit mode on","Entra in modalità modifica"
"control center","Pannello di controllo"
"is read-only","è in sola lettura"
"the data were successfully inserted","i dati sono stati inseriti correttamente"
"the data were successfully updated","i dati sono stati aggiornati correttamente"
"page","pagina"
"pages","pagine"
"required fields","Campi obbligatori"
"new","nuovo"
"search","cerca"
"are you sure you want to do it?","Sei sicuro di volerlo fare?"
"click to zoom in","Clicca per ingrandire"
"operation is not permitted","Operazione non consentita"
"configure","Configura"
"permissions error","Errore permessi"
"login","Accedi"
"authentication failure","Errore di autenticazione"
"logout","Esci"
"hidden","Nascosto"
"move up","sposta in alto"
"move down","sposta in basso"
"move left","sposta a sinistra"
"move right","sposta a destra"
"you skipped some fields or you made some error","Hai tralasciato qualche campo o commesso qualche errore di compilazione"
"this field is required","il campo non può essere vuoto"
"text","Testo"
"level","Livello"
"group","Gruppo"
"go to","vai a"
"preview","Anteprima"
"settings","impostazioni"
"continue","Continua"
"go to site homepage","vai alla homepage del sito"
"your installation was completed","La tua installazione è stata completata"
"administrator user","Utente amministratore"
"site url","Indirizzo del sito"
"create a new page","Crea una nuova pagina"
"create a new block","Crea un nuovo blocco"
"this page is empty","Questa pagina è vuota"
"create html page","Crea una pagina html"
"create php page","Crea una pagina in PHP"
"contents","Contenuti"
"create","Crea"
"page settings","Impostazioni pagina"
"default value","Valore predefinito"
"is read only","è in sola lettura"
"the file was successfully saved","Il file è stato salvato correttamente"
"theme","Tema"
"apply this theme","Applica questo tema"
"for advanced users only","solo per utenti esperti"
"error","Errore"
"unknown","Sconosciuto"
"operation is not allowed because it was identified as spam","Operazione non consentita perchè identificata come spam"
"date","Data"
"your highlight has been forwarded to the admin who will publish it",""
"from","da"
"view all","visualizza tutto"
"create new page","Crea una nuova pagina"
"before","Prima di"
"after","Dopo"
"position","Posizione"
"title","Titolo"
"group name","Nome gruppo"
"groups for viewing","Gruppi abilitati alla visione"
"groups for editing","Gruppi abilitati alla modifica"
"operation complete","Operazione completata"
"password recovery","recupero password"
"users","Utenti"
"send","Invia"
"filemanager","gestione file"
"sample text","testo di esempio"
"you don't have permission to view this page","non hai i permessi per visualizzare questa pagina"
"want to exit without saving?","vuoi uscire senza salvare?"
"this page has been created","la pagina è stata creata"
"the data folder is this","la cartella che contiene i dati è questa"
"the folder permissions are correct","i permessi della cartella sono corretti"
"inside","dentro"
"page hidden","Pagina nascosta"
"page is hidden in menus","Pagina nascosta nei menu"
"accesskey","Scorciatoia tastiera"
"keywords","Parole chiave"
"minimum level for viewing","Livello minimo per visione"
"description","Descrizione"
"parent","Pagina genitore"
"signature","Firma"
"name","Nome"
"link","Link"
"groups","Gruppi"
"user enabled","Utente abilitato"
"avatar","Immagine profilo"
"upload custom avatar","Carica immagine profilo"
"hide email to other users","Nascondi indirizzo email a altri utenti"
"retry","riprova"
"does not exist","non esiste"
"you want to create the file?","vuoi creare questo file?"
"no","no"
"yes","si"
"the page has been created","la pagina è stata creata"
"you want to permanently delete this page?","vuoi eliminare definitivamente questa pagina?"
"execute","esegui"
"file not created","file non creato"
"if you can not upload the file here, you can load it manually via ftp in the folder","se non riesci a caricare il file qui, puoi caricarli manualmente via ftp nella cartella"
"upload zip file","upload un file zip"
"updates avaiables","aggiornamenti disponibili"
"execute update",""
"test update",""
"clean files","pulisci files"
"profile settings","impostazioni profilo"
"stay connected","resta collegato"
"allow users to stay connected","permetti agli utenti di restare collegati"
"site name","Nome sito"
"site title","Titolo sito"
"increase font size","ingrandisci i caratteri"
"decrease font size","rimpicciolisci i caratteri"
"font size","dimensione caratteri"
"normal contrast","Contrasto normale"
"high contrast","Contrasto elevato"
"published","pubblicato"
"not published","non pubblicato"
"create a text content in","crea per questa pagina un contenuto testuale in"
"enabled","abilitato"
"to register is required to accept","per registrarsi è obbligatorio accettare"
"accept","accetto"
"required field","campo obbligatorio"
"force translation","forza traduzione"
"translation ()","traduzione ()"
"copy contents from the default translation and edit it","copia  e modifica il contenuto dalla traduzione di default"
"have entered illegal characters","hai inserito caratteri non ammessi"
"it has been sended one email to you to the address","è stata inviata una email all'indirizzo"
"with the instructions to complete the registration","con le istruzioni per completare la registrazione"
"check your inbox","controlla la tua casella di posta elettronica"
"apply changes","applica modifiche"
"edit profile","modifica profilo"
"enter this security code","digita questo codice di sicurezza"
"page contents","contenuti pagina"
"go to page","vai alla pagina"
"configure module","configura il modulo"
"configure page","configura la pagina"
"configure block","configura il blocco"
"module options that is loaded in this page","opzioni relative al modulo caricato in questa pagina"
"module options that is loaded in this block","opzioni relative al modulo caricato in questo blocco"
"edit mode","modalità modifica"
"hide","nascondi"
"close","Chiudi"
"blocks","Blocchi"
"view blocks","visualizza blocchi"
