"id","text"
"the comment was deleted","Il commento è stato eliminato"
"back to the news","Torna alle notizie"
"arguments","Argomenti"
"hide news","Nascondi notizia"
"submit news","Segnala una notizia"
"saved news","Notizie segnalate e salvate"
"list of news","Elenco delle notizie"
"add news","Aggiungi una notizia"
"read all","Leggi tutto"
"edit arguments","modifica gli argomenti"
"new argument","Nuovo argomento"
"read","letto"
"times","volte"
"you need to register on","Devi registrarti a"
"to add a comment","per aggiungere un commento"
"message sent","messaggio inviato"
"add comment","aggiungi commento"
"publish","pubblica"
"back to the news","Torna alle notizie"
"no saved news","nessuna notizia salvata"
"saved news","Notizie salvate"
"list of news","Lista notizie"
"to highlight news","per segnalare notizie"
"signed news","notizie proposte"
"no signed news","Nessuna notizia proposta"
"published news","Notizie pubblicate"
"unpublished news","Notizie non pubblicate"
"news statistics","Statistiche notizie"
"no unpublished news","Nessuna notizia non pubblicata"
"news","notizie"
"manage news","gestisci notizie"
"go to the news","Vai alle notizie"
"edit configuration","cambia la configurazione"
"go to news section","vai alla sezione news"
"your highlight has been forwarded to the admin who will publish it","La tua segnalazione è stata inoltrata all' amministratore che provvederà a pubblicarla"
"author","Autore"
"argument","Argomento"
"written by","scritto da"
"has published something on the news","ha pubblicato qualcosa sulla notizia"
"to read the message follow this link","per leggere il messaggio segui questo link"
"category","categoria"
"edit news","modifica notizie"
