"id","text"
"next record","prossimo"
"previous record","precedente"
"go to the contents list","vai alla lista"
"add new","aggiungi nuovo"
"added a comment to your content","ha aggiunto un commento a un contenuto da te inserito"
"to see the comments go to this address","per vedere i commenti vai a questo indirizzo"
"added a comment","ha aggiunto un commento"
"insertion date","data inserimento"
"date updated","data ultimo aggiornamento"
"number of views","numero di visualizzazioni"
"reverse order (from largest to smallest)","ordine inverso (dal più grande al più piccolo)"
"of","di"
"add comment","aggiungi un commento"
"edit qualified users to modify","gestisci gli utenti abilitati alla modifica"
"limits the display of the content in these groups","limita la visualizzazione del contenuto a questi gruppi"
"no previous version is available","non è disponibile alcuna precedente versione"
"previous versions","versioni precedenti"
"restricts the view to these groups","visualizzazione limitata ai seguenti gruppi"
"version history","storico versioni"
"order by","ordina per"
"remove filter","rimuovi filtro"
"allow permissions to display for each record","gestisci permessi di visualizzazione per ogni singolo record"
"new search","nuova ricerca"
"browse by categories","navigazione per categorie"
"results per page","risultati per pagina"
"the creator of the object will be contacted to request you to be allowed. You can add comments in the box below.","il creatore del contenuto verrà contattato per chiedere di essere autorizzati. È possibile aggiungere commenti nella casella qui sotto."
"demand modification","richiesta di modifica"
"you can not send your request, please contact the administrator of the website","non è possibile inviare la richiesta, perfavore contatta l'amministratore del sito web"
"has requested to modify this content","ha richiesto di poter modificare questo contenuto"
"to allow editing do login","per abilitarlo alla modifica vai a"
"and login as user","e esegui l'accesso con utente"
"go to edit this content or log in","vai al contenuto oppure a "
"then click on -user allowed to edit- and manage the permissions","quindi clicca su -gestisci gli utenti abilitati alla modifica- e gestisci le autorizzazioni"
"request sent","richiesta inviata"
"you are not authorized to view the data","non hai i permessi per visualizzare questo contenuto"
"filter","filtro"
"rule","regola"
"shows only","visualizza solamente"
"export to csv","salva i risultati come CSV"
"to post a comment","per postare un commento"
"you may not do that","non puoi eseguire questa operazione"
"the message has been sent","il messaggio è stato inviato"
"you must be registered to","devi registrarti a"
"the comment was deleted","il commento è stato eliminato"
"record was deleted","il contenuto è stato eliminato"
"you exit without to save?","vuoi uscire senza salvare?"
"exit","esci"
"view list","visualizza lista"
"exit and view","esci e visualizza"
"record updated","il contenuto è stato aggiornato"
"created new record in","aggiunto nuovo record in"
"posted by","postato da"
"to view go to the address","per visualizzarlo vai al seguente indirizzo"
"this user not exists","l'utente non esiste"
"this user is already enabled","questo utente è già stato abilitato"
"you were added to the users allowed to edit this content","Hai abilitato l'utente a modificare questo contenuto"
"If you want to edit the content you have to login :","Se vuoi modificare il contenuto esegui l'accesso :"
"add user","aggiungi utente"
"rank","rank"
"vote","vota"
"poor","scarso"
"inadeguate","insufficiente"
"adeguate","sufficiente"
"good","buono"
"very good","molto buono"
"thank you for voting","grazie per il tuo voto"
"hide categories","nascondi categorie"
"updated","aggiornato"
"icon view","vista a icone"
"list view","vista a lista"
"image","immagine"
"copy data and add new","copia dati e aggiungi nuovo"
"delete this version","elimina questa versione"
"limits the edit of the content to these groups","limita la modifica del contenuto a questi gruppi"
"manage permissions","gestisci autorizzazioni"
"there is already an item with this value","esiste già un elemento con questo valore"
"add a new item into","aggiungi un nuovo elemento in"
